Timestamp,Client_IP,MAC_Address,DHCP_Server,Operation,VLAN,Gateway,Assigned_IP,Lease_Duration_Seconds,Response_Time_MS,Transaction_ID,Success,Anomaly_Detected
2026-03-13 04:38:53,192.168.2.173,9e:73:65:4b:0c:17,DHCP-Server-02,ACK,VLAN-20,192.168.2.1,192.168.2.166,86400,213,TXN-000000,Yes,No
2026-03-12 05:03:53,192.168.5.50,c4:fd:cc:7c:4b:02,DHCP-Server-01,INFORM,VLAN-50,192.168.5.1,,0,0,TXN-000001,Pending,No
2026-03-15 01:20:53,192.168.2.206,ed:19:7f:3e:e9:44,DHCP-Server-04,DECLINE,VLAN-20,192.168.2.1,,0,0,TXN-000002,No,No
2026-03-14 17:06:53,192.168.5.153,a2:e2:da:e4:51:f3,DHCP-Server-04,REQUEST,VLAN-50,192.168.5.1,,0,0,TXN-000003,Pending,No
2026-03-14 11:11:53,192.168.3.197,f8:7a:8c:e1:27:92,DHCP-Server-02,REQUEST,VLAN-30,192.168.3.1,,0,0,TXN-000004,Pending,No
2026-03-13 12:20:53,192.168.5.21,46:4d:76:c4:4e:6d,DHCP-Server-01,ACK,VLAN-50,192.168.5.1,192.168.5.134,7200,278,TXN-000005,Yes,No
2026-03-13 02:13:53,192.168.1.53,d7:c7:0a:c2:f4:03,DHCP-Server-03,REQUEST,VLAN-10,192.168.1.1,,0,0,TXN-000006,Pending,No
2026-03-18 03:09:53,192.168.4.138,70:f9:70:8b:df:f8,DHCP-Server-01,ACK,VLAN-40,192.168.4.1,192.168.4.153,3600,371,TXN-000007,Yes,No
2026-03-12 21:58:53,192.168.4.236,41:0d:c9:0d:2a:db,DHCP-Server-02,INFORM,VLAN-40,192.168.4.1,,0,0,TXN-000008,Pending,No
2026-03-18 15:28:53,192.168.1.67,c2:a7:6c:e8:a7:ac,DHCP-Server-04,REQUEST,VLAN-10,192.168.1.1,,0,0,TXN-000009,Pending,No
2026-03-16 17:26:53,192.168.4.65,29:f0:09:1a:b3:72,DHCP-Server-01,INFORM,VLAN-40,192.168.4.1,,0,0,TXN-000010,Pending,No
2026-03-12 06:54:53,192.168.1.194,0f:7e:66:0a:4e:7a,DHCP-Server-02,ACK,VLAN-10,192.168.1.1,192.168.1.194,86400,486,TXN-000011,Yes,No
2026-03-12 06:22:53,192.168.3.197,bc:55:3a:53:9f:37,DHCP-Server-01,REQUEST,VLAN-30,192.168.3.1,,0,0,TXN-000012,Pending,No
2026-03-12 23:49:53,192.168.4.102,65:26:7c:34:9a:3d,DHCP-Server-01,REQUEST,VLAN-40,192.168.4.1,,0,0,TXN-000013,Pending,No
2026-03-14 09:56:53,192.168.3.18,ae:06:d7:fa:36:dd,DHCP-Server-03,DECLINE,VLAN-30,192.168.3.1,,0,0,TXN-000014,No,No
2026-03-14 13:45:53,192.168.4.182,4e:de:5a:8a:f7:ee,DHCP-Server-04,INFORM,VLAN-40,192.168.4.1,,0,0,TXN-000015,Pending,No
2026-03-17 16:13:53,192.168.3.83,7d:2c:8e:e6:7c:ed,DHCP-Server-04,REQUEST,VLAN-30,192.168.3.1,,0,0,TXN-000016,Pending,Yes
2026-03-18 18:37:53,192.168.3.47,f9:6c:b5:84:ae:8f,DHCP-Server-03,RELEASE,VLAN-30,192.168.3.1,,0,0,TXN-000017,Pending,Yes
2026-03-12 05:28:53,192.168.2.22,7b:d0:fa:7b:f3:fb,DHCP-Server-04,INFORM,VLAN-20,192.168.2.1,,0,0,TXN-000018,Pending,Yes
2026-03-18 07:29:53,192.168.3.57,cf:7c:9c:bc:f2:b0,DHCP-Server-04,DECLINE,VLAN-30,192.168.3.1,,0,0,TXN-000019,No,No
2026-03-14 04:31:53,192.168.3.180,e8:8a:9c:80:76:3d,DHCP-Server-02,REQUEST,VLAN-30,192.168.3.1,,0,0,TXN-000020,Pending,No
2026-03-18 03:02:53,192.168.5.244,5e:62:6e:f7:8d:90,DHCP-Server-01,INFORM,VLAN-50,192.168.5.1,,0,0,TXN-000021,Pending,No
2026-03-16 16:47:53,192.168.2.93,5b:9a:07:40:8c:17,DHCP-Server-01,RELEASE,VLAN-20,192.168.2.1,,0,0,TXN-000022,Pending,No
2026-03-14 10:25:53,192.168.2.164,fb:34:06:91:f0:f5,DHCP-Server-04,REQUEST,VLAN-20,192.168.2.1,,0,0,TXN-000023,Pending,No
2026-03-17 00:53:53,192.168.1.65,f4:3a:21:cd:fb:25,DHCP-Server-01,OFFER,VLAN-10,192.168.1.1,192.168.1.194,604800,486,TXN-000024,Pending,No
2026-03-18 15:08:53,192.168.2.31,d5:73:c2:e6:e2:98,DHCP-Server-04,REQUEST,VLAN-20,192.168.2.1,,0,0,TXN-000025,Pending,No
2026-03-15 02:11:53,192.168.1.157,32:6a:6c:87:29:50,DHCP-Server-02,OFFER,VLAN-10,192.168.1.1,192.168.1.90,86400,2,TXN-000026,Pending,No
2026-03-12 00:00:53,192.168.5.121,95:10:76:93:90:e8,DHCP-Server-01,DECLINE,VLAN-50,192.168.5.1,,0,0,TXN-000027,No,No
2026-03-13 17:49:53,192.168.3.202,65:d9:3a:73:4c:88,DHCP-Server-02,DISCOVER,VLAN-30,192.168.3.1,,0,0,TXN-000028,Pending,No
2026-03-16 17:38:53,192.168.3.153,93:e0:3f:ef:9b:ce,DHCP-Server-03,RELEASE,VLAN-30,192.168.3.1,,0,0,TXN-000029,Pending,No
2026-03-15 19:08:53,192.168.4.21,14:dd:a5:80:0d:2e,DHCP-Server-02,DECLINE,VLAN-40,192.168.4.1,,0,0,TXN-000030,No,No
2026-03-15 02:06:53,192.168.5.151,0a:89:14:59:f0:e2,DHCP-Server-03,OFFER,VLAN-50,192.168.5.1,192.168.5.175,7200,497,TXN-000031,Pending,No
2026-03-13 16:41:53,192.168.3.105,aa:a4:35:52:a8:d2,DHCP-Server-04,REQUEST,VLAN-30,192.168.3.1,,0,0,TXN-000032,Pending,No
2026-03-14 09:01:53,192.168.4.209,12:e8:2d:a1:81:a5,DHCP-Server-01,INFORM,VLAN-40,192.168.4.1,,0,0,TXN-000033,Pending,No
2026-03-15 18:08:53,192.168.5.212,00:ec:d3:1b:60:b9,DHCP-Server-04,DECLINE,VLAN-50,192.168.5.1,,0,0,TXN-000034,No,No
2026-03-13 02:08:53,192.168.1.53,88:43:93:e0:f8:3e,DHCP-Server-01,DECLINE,VLAN-10,192.168.1.1,,0,0,TXN-000035,No,No
2026-03-12 23:33:53,192.168.2.182,51:9f:07:d0:2f:73,DHCP-Server-01,ACK,VLAN-20,192.168.2.1,192.168.2.89,86400,256,TXN-000036,Yes,No
2026-03-16 05:58:53,192.168.3.131,8b:d4:f7:f1:7c:e9,DHCP-Server-02,ACK,VLAN-30,192.168.3.1,192.168.3.180,604800,383,TXN-000037,Yes,No
2026-03-13 00:38:53,192.168.1.71,d4:ae:88:01:90:98,DHCP-Server-04,INFORM,VLAN-10,192.168.1.1,,0,0,TXN-000038,Pending,No
2026-03-16 00:15:53,192.168.5.124,b0:aa:c1:e9:a4:60,DHCP-Server-02,RELEASE,VLAN-50,192.168.5.1,,0,0,TXN-000039,Pending,No
2026-03-15 20:09:53,192.168.4.12,a2:f2:c3:c5:4d:fd,DHCP-Server-01,OFFER,VLAN-40,192.168.4.1,192.168.4.75,3600,448,TXN-000040,Pending,No
2026-03-18 19:05:53,192.168.1.135,e9:07:49:d1:4f:26,DHCP-Server-04,INFORM,VLAN-10,192.168.1.1,,0,0,TXN-000041,Pending,No
2026-03-14 22:27:53,192.168.3.160,cb:29:a8:c2:a2:f9,DHCP-Server-01,RELEASE,VLAN-30,192.168.3.1,,0,0,TXN-000042,Pending,No
2026-03-12 10:05:53,192.168.3.59,2e:de:32:33:e3:55,DHCP-Server-03,DISCOVER,VLAN-30,192.168.3.1,,0,0,TXN-000043,Pending,Yes
2026-03-17 03:41:53,192.168.1.76,b7:bf:dc:4a:7d:d2,DHCP-Server-02,OFFER,VLAN-10,192.168.1.1,192.168.1.70,604800,313,TXN-000044,Pending,No
2026-03-18 00:39:53,192.168.5.175,7b:fe:49:76:ec:82,DHCP-Server-04,REQUEST,VLAN-50,192.168.5.1,,0,0,TXN-000045,Pending,No
2026-03-13 08:19:53,192.168.4.231,93:50:25:e2:b0:99,DHCP-Server-04,DECLINE,VLAN-40,192.168.4.1,,0,0,TXN-000046,No,No
2026-03-16 05:35:53,192.168.3.51,c4:f7:36:79:c3:b7,DHCP-Server-03,DECLINE,VLAN-30,192.168.3.1,,0,0,TXN-000047,No,No
2026-03-12 19:45:53,192.168.4.71,04:19:fe:92:75:b4,DHCP-Server-02,DECLINE,VLAN-40,192.168.4.1,,0,0,TXN-000048,No,No
2026-03-18 04:58:53,192.168.3.174,46:31:14:9e:e1:11,DHCP-Server-03,DECLINE,VLAN-30,192.168.3.1,,0,0,TXN-000049,No,No
2026-03-15 06:17:53,192.168.3.84,d4:59:66:43:bb:8b,DHCP-Server-02,REQUEST,VLAN-30,192.168.3.1,,0,0,TXN-000050,Pending,No
2026-03-16 00:59:53,192.168.4.248,97:ad:3a:ef:26:48,DHCP-Server-02,INFORM,VLAN-40,192.168.4.1,,0,0,TXN-000051,Pending,No
2026-03-18 11:53:53,192.168.4.248,bb:2e:ca:07:87:3f,DHCP-Server-04,REQUEST,VLAN-40,192.168.4.1,,0,0,TXN-000052,Pending,No
2026-03-14 02:44:53,192.168.3.150,c3:be:37:77:f1:0c,DHCP-Server-03,RELEASE,VLAN-30,192.168.3.1,,0,0,TXN-000053,Pending,No
2026-03-12 17:13:53,192.168.1.163,ed:9a:d1:3b:47:17,DHCP-Server-01,REQUEST,VLAN-10,192.168.1.1,,0,0,TXN-000054,Pending,No
2026-03-12 10:44:53,192.168.1.25,78:45:c6:e8:bd:d6,DHCP-Server-02,ACK,VLAN-10,192.168.1.1,192.168.1.175,86400,316,TXN-000055,Yes,No
2026-03-14 12:27:53,192.168.3.9,bd:6f:e3:e3:78:b9,DHCP-Server-01,DECLINE,VLAN-30,192.168.3.1,,0,0,TXN-000056,No,No
2026-03-15 05:15:53,192.168.3.16,cb:8d:61:3e:e8:2e,DHCP-Server-02,DECLINE,VLAN-30,192.168.3.1,,0,0,TXN-000057,No,No
